GroupName,Student Id
Melbourne,MIT223769
Melbourne,MIT231405
Melbourne,MIT231894
Melbourne,MIT234116
Melbourne,MIT236037
Melbourne,MIT236458
Melbourne,MIT240059
Melbourne,MIT240191
Melbourne,MIT240621
Melbourne,MIT240967
Melbourne,MIT240977
Melbourne,MIT241043
Melbourne,MIT241287
Melbourne,MIT241463
Melbourne,MIT241509
Melbourne,MIT241524
Melbourne,MIT241526
Melbourne,MIT241557
Melbourne,MIT241748
Melbourne,MIT242393
Melbourne,MIT242542
Melbourne,MIT244194
Melbourne,MIT250216
Melbourne,MIT250362
Melbourne,MIT250992
